id,user_question,intent_tag,primary_aspect,secondary_aspects,discipline_hints,method_or_topic_hints,requires_twin,twin_query_template,retrieval_filter_hint,expected_outputs,eval_keywords,priority
1,"Where is the caprock and how thick is it?",caprock_inquiry,Caprock,"[""Permeability"", ""Reservoir""]","[""Geology""]","[""Seismic"", ""MT""]",false,"","{""aspect"": ""Caprock""}","[""thickness"", ""depth"", ""lithology""]","[""caprock"", ""thick"", ""seal""]",1
2,"What is the reservoir temperature?",temperature_inquiry,Reservoir,"[""Geothermometry"", ""Heat_Source""]","[""Geochemistry""]","[""Geothermometer""]",false,"","{""aspect"": ""Reservoir""}","[""temperature"", ""geothermometer""]","[""temperature"", ""geothermometer"", ""celsius""]",1
3,"How does MT data show subsurface structure?",geophysics_structure,Geophysics,"[""Structure"", ""Resistivity""]","[""Geophysics""]","[""MT""]",false,"","{""method"": ""MT""}","[""resistivity"", ""structure"", ""model""]","[""mt"", ""magnetotelluric"", ""resistivity""]",1
4,"What does hydrology tell us about the system?",hydrology_inquiry,Hydrology,"[""Fluids_Manifestation"", ""Recharge""]","[""Geochemistry""]","[""Isotopes""]",false,"","{""aspect"": ""Hydrology""}","[""flow"", ""chemistry"", ""isotopes""]","[""hydrology"", ""water"", ""flow""]",1
5,"Where should we target wells?",well_targeting,Wells_Targeting,"[""Reservoir"", ""Permeability""]","[""Geophysics"", ""Geology""]","[""MT"", ""Gravity""]",true,"Well targeting optimization for {field}","{""aspect"": ""Wells_Targeting""}","[""optimal_locations"", ""drilling_targets""]","[""wells"", ""target"", ""drilling""]",1
6,"What is the heat source?",heat_source_inquiry,Heat_Source,"[""Magmatic"", ""Reservoir""]","[""Geophysics"", ""Geology""]","[""Seismic"", ""Gravity""]",false,"","{""aspect"": ""Heat_Source""}","[""intrusion"", ""magma"", ""heat_flow""]","[""heat"", ""source"", ""magma""]",1
7,"Explain typical caprock lithologies in volcanic settings",general_caprock,Caprock,"[""Lithology"", ""Volcanic""]","[""Geology""]","[]",false,"","{""aspect"": ""Caprock""}","[""lithology"", ""rock_types""]","[""caprock"", ""lithology"", ""volcanic""]",2
8,"How do geothermometers work in volcanic systems?",general_geothermometer,Geothermometry,"[""Volcanic"", ""Temperature""]","[""Geochemistry""]","[""Geothermometer""]",false,"","{""aspect"": ""Geothermometry""}","[""principles"", ""application""]","[""geothermometer"", ""volcanic"", ""temperature""]",2
9,"Where is the caprock based on low resistivity values?",Caprock_Location,Caprock,"[""Resistivity"", ""Structure""]","[""Geophysics""]","[""MT"", ""Resistivity""]",true,"Caprock identification with resistivity < {threshold} ohm-m","{""aspect"": ""Caprock"", ""method"": ""MT""}","[""location"", ""extent"", ""depth""]","[""caprock"", ""resistivity"", ""low""]",1
10,"What is the reservoir rock type and characteristics?",Reservoir_RockType,Reservoir,"[""Density"", ""Geochemistry""]","[""Geology"", ""Geophysics""]","[""Density"", ""Geochemistry""]",true,"Reservoir rock classification from density data","{""aspect"": ""Reservoir"", ""method"": ""Density""}","[""rock_type"", ""density"", ""characteristics""]","[""reservoir"", ""rock"", ""density""]",1
11,"What is the reservoir extent and connectivity?",Reservoir_Analysis,Reservoir,"[""Resistivity"", ""Structure""]","[""Geophysics"", ""Geology""]","[""MT"", ""Seismic""]",true,"Reservoir analysis with resistivity {res_low}-{res_high} ohm-m","{""aspect"": ""Reservoir"", ""method"": ""MT""}","[""extent"", ""connectivity"", ""thickness""]","[""reservoir"", ""extent"", ""connectivity""]",1
12,"What is the flow direction in the system?",Hydrology_Direction,Hydrology,"[""Caprock"", ""Reservoir""]","[""Geophysics"", ""Geochemistry""]","[""MT"", ""Isotopes""]",true,"Flow direction analysis from gradient data","{""aspect"": ""Hydrology"", ""method"": ""Gradient""}","[""flow_direction"", ""gradient"", ""upflow""]","[""flow"", ""direction"", ""gradient""]",1
